feature,importance
cat__object_id_18-309-00157,1.148708162800075e-09
cat__district_KAMRUP,9.94141023451347e-10
cat__object_id_18-816-00261,6.807407826991116e-10
cat__object_id_18-300-00101,6.533585940037012e-10
cat__object_id_18-323-00227,4.3556755117125236e-10
cat__object_id_18-312-00169,4.0637339391343244e-10
cat__object_id_18-310-00164,2.709978872850456e-10
cat__object_id_18-319-00199,2.215026296032388e-10
cat__object_id_18-310-00160,1.6584922600169764e-10
cat__object_id_18-326-00247,1.4752105687477063e-10
cat__object_id_18-307-00144,1.1965586954788e-10
cat__object_id_18-310-00161,1.0457332450204656e-10
cat__object_id_18-310-00163,9.17992151551344e-11
cat__object_id_18-757-00254,5.376480961124503e-11
cat__object_id_18-323-00225,3.181525988660229e-11
cat__object_id_18-757-00253,1.285436656174149e-11
cat__object_id_18-311-00167,2.4033078961701285e-12
cat__object_id_18-305-00134,0.0
cat__object_id_18-306-00138,0.0
cat__object_id_18-306-00137,0.0
cat__object_id_18-305-00135,0.0
cat__object_id_18-759-00255,0.0
cat__district_SOUTH SALMARA MANCACHAR,0.0
cat__object_id_18-758-00256,0.0
cat__object_id_18-758-00257,0.0
cat__district_WEST KARBI ANGLONG,0.0
cat__object_id_18-300-00102,0.0
cat__object_id_18-300-00104,0.0
cat__object_id_18-300-00105,0.0
cat__object_id_18-300-00106,0.0
cat__object_id_18-755-00279,0.0
cat__object_id_18-326-00268,0.0
cat__object_id_18-755-00248,0.0
cat__object_id_18-326-00246,0.0
cat__object_id_18-305-00132,0.0
cat__object_id_18-304-00128,0.0
cat__object_id_18-304-00129,0.0
cat__object_id_18-304-00271,0.0
cat__object_id_18-303-00264,0.0
cat__object_id_18-303-00123,0.0
cat__object_id_18-303-00122,0.0
cat__object_id_18-304-00127,0.0
cat__object_id_18-302-00116,0.0
cat__object_id_18-301-00274,0.0
cat__object_id_18-302-00119,0.0
cat__object_id_18-302-00118,0.0
cat__object_id_18-300-00108,0.0
cat__object_id_18-300-00107,0.0
cat__object_id_18-301-00112,0.0
cat__object_id_18-301-00111,0.0
cat__object_id_18-301-00110,0.0
cat__object_id_18-301-00109,0.0
cat__object_id_18-755-00278,0.0
cat__object_id_18-311-00165,0.0
cat__object_id_18-306-00140,0.0
cat__object_id_18-310-00162,0.0
cat__object_id_18-309-00155,0.0
cat__object_id_18-308-00149,0.0
cat__district_KAMRUP METRO,0.0
cat__object_id_18-306-00139,0.0
cat__object_id_18-307-00143,0.0
cat__object_id_18-308-00148,0.0
cat__object_id_18-319-00198,0.0
cat__object_id_18-318-00197,0.0
cat__object_id_18-318-00195,0.0
cat__object_id_18-318-00194,0.0
cat__object_id_18-317-00191,0.0
cat__object_id_18-317-00193,0.0
cat__object_id_18-316-00188,0.0
cat__object_id_18-317-00189,0.0
cat__object_id_18-315-00183,0.0
cat__object_id_18-315-00182,0.0
cat__object_id_18-316-00184,0.0
cat__object_id_18-316-00185,0.0
cat__object_id_18-314-00179,0.0
cat__object_id_18-314-00275,0.0
cat__object_id_18-315-00180,0.0
cat__object_id_18-315-00181,0.0
cat__object_id_18-312-00170,0.0
cat__object_id_18-313-00177,0.0
cat__object_id_18-312-00171,0.0
cat__object_id_18-312-00277,0.0
cat__object_id_18-314-00178,0.0
cat__object_id_18-321-00214,0.0
cat__object_id_18-321-00212,0.0
cat__object_id_18-321-00213,0.0
cat__object_id_18-320-00203,0.0
cat__object_id_18-321-00208,0.0
cat__object_id_18-321-00209,0.0
cat__object_id_18-321-00210,0.0
cat__object_id_18-319-00202,0.0
cat__object_id_18-319-00201,0.0
cat__object_id_18-320-00204,0.0
